studentID,semester,courseID
S001,Y1S1,ME101
S001,Y1S1,ME102
S001,Y1S1,ME103
S001,Y1S1,ME104
S001,Y1S1,ME105
S002,Y1S1,CS101
S002,Y1S1,CS102
S002,Y1S1,CS103
S002,Y1S1,CS104
S002,Y1S1,CS105
S003,Y1S1,HM101
S003,Y1S1,HM102
S003,Y1S1,HM103
S003,Y1S1,HM104
S003,Y1S1,HM105
S004,Y1S2,ME106
S004,Y1S2,ME107
S004,Y1S2,ME108
S004,Y1S2,ME109
S004,Y1S2,ME110
S005,Y1S2,CS106
S005,Y1S2,CS107
S005,Y1S2,CS108
S005,Y1S2,CS109
S005,Y1S2,CS110
S006,Y1S1,HM101
S006,Y1S1,HM102
S006,Y1S1,HM103
S006,Y1S1,HM104
S006,Y1S1,HM105
S006,Y1S2,HM106
S006,Y1S2,HM107
S006,Y1S2,HM108
S006,Y1S2,HM109
S006,Y1S2,HM110
S007,Y2S1,ME201
S007,Y2S1,ME202
S007,Y2S1,ME203
S007,Y2S1,ME204
S007,Y2S1,ME205
S008,Y2S1,CS201
S008,Y2S1,CS202
S008,Y2S1,CS203
S008,Y2S1,CS204
S008,Y2S1,CS205
S009,Y2S1,HM201
S009,Y2S1,HM202
S009,Y2S1,HM203
S009,Y2S1,HM204
S009,Y2S1,HM205
S010,Y2S2,ME206
S010,Y2S2,ME207
S010,Y2S2,ME208
S010,Y2S2,ME209
S010,Y2S2,ME210
S011,Y2S1,CS201
S011,Y2S1,CS202
S011,Y2S1,CS203
S011,Y2S1,CS204
S011,Y2S1,CS205
S011,Y2S2,CS206
S011,Y2S2,CS207
S011,Y2S2,CS208
S011,Y2S2,CS209
S011,Y2S2,CS210
S012,Y2S2,HM206
S012,Y2S2,HM207
S012,Y2S2,HM208
S012,Y2S2,HM209
S012,Y2S2,HM210
S013,Y3S1,ME301
S013,Y3S1,ME302
S013,Y3S1,ME303
S013,Y3S1,ME304
S014,Y3S1,CS301
S014,Y3S1,CS302
S014,Y3S1,CS303
S014,Y3S1,CS304
S015,Y3S1,HM301
S015,Y3S1,HM302
S015,Y3S1,HM303
S015,Y3S1,HM304
S016,Y3S2,ME305
S016,Y3S2,ME306
S016,Y3S2,ME307
S016,Y3S2,ME308
S017,Y3S2,CS305
S017,Y3S2,CS306
S017,Y3S2,CS307
S017,Y3S2,CS308
S018,Y1S1,HM101
S018,Y1S1,HM102
S018,Y1S1,HM103
S018,Y1S1,HM104
S018,Y1S1,HM105
S018,Y1S2,HM106
S018,Y1S2,HM107
S018,Y1S2,HM108
S018,Y1S2,HM109
S018,Y1S2,HM110
S018,Y2S1,HM201
S018,Y2S1,HM202
S018,Y2S1,HM203
S018,Y2S1,HM204
S018,Y2S1,HM205
S018,Y2S2,HM206
S018,Y2S2,HM207
S018,Y2S2,HM208
S018,Y2S2,HM209
S018,Y2S2,HM210
S018,Y3S1,HM301
S018,Y3S1,HM302
S018,Y3S1,HM303
S018,Y3S1,HM304
S018,Y3S2,HM305
S018,Y3S2,HM306
S018,Y3S2,HM307
S018,Y3S2,HM308
